id,name,complete_name,parent_path,packaging_reserve_method
product_category_rp_th_20,RP-TH-20,RP-TH-20,1896/,partial
product_category_rp_tl_22,RP-TL-22,RP-TL-22,1897/,partial
product_category_rp_tr_22,RP-TR-22,RP-TR-22,1898/,partial
product_category_rs_je_pm,RS-JE-PM,RS-JE-PM,1774/,partial
product_category_sa_ge_25,SA-GE-25,SA-GE-25,1775/,partial
product_category_sa_ge_32,SA-GE-32,SA-GE-32,1899/,partial
product_category_sa_ge_32_1776,SA-GE-32,SA-GE-32,1776/,partial
product_category_sa_ge_ac,SA-GE-AC,SA-GE-AC,1777/,partial
product_category_sa_ge_ac_1900,SA-GE-AC,SA-GE-AC,1900/,partial
product_category_sa_ge_im,SA-GE-IM,SA-GE-IM,1778/,partial
product_category_sa_ge_im_1901,SA-GE-IM,SA-GE-IM,1901/,partial
product_category_sa_je_pm,SA-JE-PM,SA-JE-PM,1779/,partial
product_category_ss_ge_34,SS-GE-34,SS-GE-34,1902/,partial
product_category_ss_ge_34_1780,SS-GE-34,SS-GE-34,1780/,partial
product_category_ss_je_pm,SS-JE-PM,SS-JE-PM,1781/,partial
product_category_sv_lb_60,SV-LB-60,SV-LB-60,1903/,partial
product_category_sv_lb_60_1782,SV-LB-60,SV-LB-60,1782/,partial
product_category_sv_lc_61,SV-LC-61,SV-LC-61,1906/,partial
product_category_sv_lc_61_1908,SV-LC-61,SV-LC-61,1908/,partial
product_category_sv_tr_61,SV-TR-61,SV-TR-61,1783/,partial
product_category_wl_gr_01,WL-GR-01,WL-GR-01,1784/,partial
product_category_x7,X7,X7,451/,partial
product_category_x8,X8,X8,437/,partial
product_category_x9,X9,X9,439/,partial
product_category_01bc_030_wire_wheel_brush_150x30m,[01BC 030] WIRE WHEEL  BRUSH 150X30m,[01BC 030] WIRE WHEEL  BRUSH 150X30m,1909/,partial
product_category_01bc_030_wire_wheel_brush_150x30mm,[01BC 030] WIRE WHEEL  BRUSH 150X30mm,[01BC 030] WIRE WHEEL  BRUSH 150X30mm,1910/,partial
