id,name,active,group_propagation_option,action,sequence,company_id/id,location_dest_id/id,location_src_id/id,route_id/id,procure_method,picking_type_id/id,delay,propagate_carrier,warehouse_id/id,propagate_warehouse_id/id,auto
stock_rule_pw_je_inter_warehouse_transit_stock_1254,PW-JE: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_je_supply_produc_490,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_118,0,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,manual
stock_rule_pl_ek_stock_inter_warehouse_transit_mto_1255,PL-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_789,0,1,seed_master_data_and_settings.warehouse_pl_ek_c1,,manual
stock_rule_pl_ek_stock_inter_warehouse_transit_1256,PL-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a_491,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_789,0,,seed_master_data_and_settings.warehouse_pl_ek_c1,,manual
stock_rule_pw_ma_inter_warehouse_transit_stock_1257,PW-MA: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a_491,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_776,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,manual
stock_rule_pl_ek_stock_inter_warehouse_transit_mto_1258,PL-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_789,0,1,seed_master_data_and_settings.warehouse_pl_ek_c1,,manual
stock_rule_pl_ek_stock_inter_warehouse_transit_1259,PL-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_je_supply_produc,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_789,0,,seed_master_data_and_settings.warehouse_pl_ek_c1,,manual
stock_rule_pw_je_inter_warehouse_transit_stock_1260,PW-JE: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_je_supply_produc,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_118,0,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,manual
stock_rule_mw_jc_stock_inter_warehouse_transit_mto_1261,MW-JC: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_220,0,1,seed_master_data_and_settings.warehouse_mw_jc_c1,,manual
stock_rule_mw_jc_stock_inter_warehouse_transit_1262,MW-JC: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_220,0,,seed_master_data_and_settings.warehouse_mw_jc_c1,,manual
stock_rule_pw_ma_inter_warehouse_transit_stock_1263,PW-MA: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_776,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_mw_jc_c1,manual
