id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_135545,33TR 15213,1,Jinasena_MasterData_Stock.product_template_brake_adjusment_turn_buckle_bush,33TR 15213,,0.0,0.0,0.0,,,,
product_product_id_135546,33TR 15214,1,Jinasena_MasterData_Stock.product_template_brake_adjusting_turn_lock_bush,33TR 15214,,0.0,0.0,0.0,,,,
product_product_id_135547,33TR 15215,1,Jinasena_MasterData_Stock.product_template_brake_rod_mounting_plate,33TR 15215,,0.0,0.0,0.0,,,,
product_product_id_135548,33TR 15216,1,Jinasena_MasterData_Stock.product_template_brake_paddle_mount,33TR 15216,,0.0,0.0,0.0,,,,
product_product_id_135549,33TR 15217,1,Jinasena_MasterData_Stock.product_template_brake_paddle_bush,33TR 15217,,0.0,0.0,0.0,,,,
product_product_id_135550,33TR 15218,1,Jinasena_MasterData_Stock.product_template_brake_padel_axel,33TR 15218,,0.0,0.0,0.0,,,,
product_product_id_135551,33TR 15219,1,Jinasena_MasterData_Stock.product_template_brake_padel_arm,33TR 15219,,0.0,0.0,0.0,,,,
product_product_id_135552,33TR 15220,1,Jinasena_MasterData_Stock.product_template_brake_padel_plate,33TR 15220,,0.0,0.0,0.0,,,,
product_product_id_135553,33TR 15221,1,Jinasena_MasterData_Stock.product_template_brake_rod_to_rod_link,33TR 15221,,0.0,0.0,0.0,,,,
product_product_id_135554,33TR 15222,1,Jinasena_MasterData_Stock.product_template_body_column,33TR 15222,,0.0,0.0,0.0,,,,
product_product_id_135555,33TR 15223,1,Jinasena_MasterData_Stock.product_template_seat_column,33TR 15223,,0.0,0.0,0.0,,,,
product_product_id_135556,33TR 15224,1,Jinasena_MasterData_Stock.product_template_side_board_holder,33TR 15224,,0.0,0.0,0.0,,,,
product_product_id_135557,33TR 15225,1,Jinasena_MasterData_Stock.product_template_brim_support,33TR 15225,,0.0,0.0,0.0,,,,
product_product_id_135558,33TR 15226,1,Jinasena_MasterData_Stock.product_template_brim_long_member,33TR 15226,,0.0,0.0,0.0,,,,
product_product_id_135559,33TR 15227,1,Jinasena_MasterData_Stock.product_template_brim_short_member,33TR 15227,,0.0,0.0,0.0,,,,
product_product_id_135560,33TR 15228,1,Jinasena_MasterData_Stock.product_template_seat_cross_member,33TR 15228,,0.0,0.0,0.0,,,,
product_product_id_135561,33TR 15229,1,Jinasena_MasterData_Stock.product_template_body_cross_bar_front_top,33TR 15229,,0.0,0.0,0.0,,,,
product_product_id_135562,33TR 15230,1,Jinasena_MasterData_Stock.product_template_buffer_332489,33TR 15230,,0.0,0.0,0.0,,,,
product_product_id_135563,33TR 15231,1,Jinasena_MasterData_Stock.product_template_door_frame_long_member,33TR 15231,,0.0,0.0,0.0,,,,
product_product_id_135564,33TR 15232,1,Jinasena_MasterData_Stock.product_template_door_frame_short_member,33TR 15232,,0.0,0.0,0.0,,,,
product_product_id_135565,33TR 15233,1,Jinasena_MasterData_Stock.product_template_brim_l_member2,33TR 15233,,0.0,0.0,0.0,,,,
product_product_id_135566,33TR 15234,1,Jinasena_MasterData_Stock.product_template_axel_box_draw_bar_connecting,33TR 15234,,0.0,0.0,0.0,,,,
product_product_id_135567,33TR 15235,1,Jinasena_MasterData_Stock.product_template_hood_support_column,33TR 15235,,0.0,0.0,0.0,,,,
product_product_id_135568,33TR 15236,1,Jinasena_MasterData_Stock.product_template_hood_support_upper_cross_bar,33TR 15236,,0.0,0.0,0.0,,,,
product_product_id_135569,33TR 15237,1,Jinasena_MasterData_Stock.product_template_hood_support_middle_cross_bar,33TR 15237,,0.0,0.0,0.0,,,,
product_product_id_135570,33TR 15238,1,Jinasena_MasterData_Stock.product_template_lock_plate,33TR 15238,,0.0,0.0,0.0,,,,
product_product_id_135571,33TR 15239,1,Jinasena_MasterData_Stock.product_template_lock_pin_332498,33TR 15239,,0.0,0.0,0.0,,,,
product_product_id_135572,33TR 15240,1,Jinasena_MasterData_Stock.product_template_side_railing_main_member,33TR 15240,,0.0,0.0,0.0,,,,
product_product_id_135573,33TR 15241,1,Jinasena_MasterData_Stock.product_template_side_railing_diamond_design,33TR 15241,,0.0,0.0,0.0,,,,
product_product_id_135574,33TR 15242,1,Jinasena_MasterData_Stock.product_template_side_railing_vertical_segment,33TR 15242,,0.0,0.0,0.0,,,,
product_product_id_135575,33TR 15243,1,Jinasena_MasterData_Stock.product_template_middle_horiz_beam,33TR 15243,,0.0,0.0,0.0,,,,
product_product_id_135576,33TR 15244,1,Jinasena_MasterData_Stock.product_template_end_column,33TR 15244,,0.0,0.0,0.0,,,,
product_product_id_135577,33TR 15245,1,Jinasena_MasterData_Stock.product_template_roof_frame_332504,33TR 15245,,0.0,0.0,0.0,,,,
product_product_id_135578,33TR 15246,1,Jinasena_MasterData_Stock.product_template_roof_cover,33TR 15246,,0.0,0.0,0.0,,,,
product_product_id_135579,33TR 15247,1,Jinasena_MasterData_Stock.product_template_buffer_8hp_wooden,33TR 15247,,0.0,0.0,0.0,,,,
product_product_id_135580,33TR 15301,1,Jinasena_MasterData_Stock.product_template_roof_frame_332507,33TR 15301,,0.0,0.0,0.0,,,,
product_product_id_135581,33TR 15302,1,Jinasena_MasterData_Stock.product_template_roof_support,33TR 15302,,0.0,0.0,0.0,,,,
