id,return_picking_type_id/id
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_942,Jinasena_MasterData_Stock.stock_picking_type_receipts_941
Jinasena_MasterData_Stock.stock_picking_type_receipts_951,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_952
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_952,Jinasena_MasterData_Stock.stock_picking_type_receipts_951
Jinasena_MasterData_Stock.stock_picking_type_receipts_961,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_962
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_962,Jinasena_MasterData_Stock.stock_picking_type_receipts_961
Jinasena_MasterData_Stock.stock_picking_type_receipts_971,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_972
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_972,Jinasena_MasterData_Stock.stock_picking_type_receipts_971
Jinasena_MasterData_Stock.stock_picking_type_receipts_981,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_982
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_982,Jinasena_MasterData_Stock.stock_picking_type_receipts_981
Jinasena_MasterData_Stock.stock_picking_type_receipts_991,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_992
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_992,Jinasena_MasterData_Stock.stock_picking_type_receipts_991
Jinasena_MasterData_Stock.stock_picking_type_receipts_1001,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1002
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1002,Jinasena_MasterData_Stock.stock_picking_type_receipts_1001
Jinasena_MasterData_Stock.stock_picking_type_receipts_1011,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1012
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1012,Jinasena_MasterData_Stock.stock_picking_type_receipts_1011
Jinasena_MasterData_Stock.stock_picking_type_receipts_1021,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1022
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1022,Jinasena_MasterData_Stock.stock_picking_type_receipts_1021
Jinasena_MasterData_Stock.stock_picking_type_receipts_1031,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1032
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1032,Jinasena_MasterData_Stock.stock_picking_type_receipts_1031
Jinasena_MasterData_Stock.stock_picking_type_receipts_1041,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1042
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1042,Jinasena_MasterData_Stock.stock_picking_type_receipts_1041
Jinasena_MasterData_Stock.stock_picking_type_receipts_1051,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1052
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1052,Jinasena_MasterData_Stock.stock_picking_type_receipts_1051
Jinasena_MasterData_Stock.stock_picking_type_receipts_1061,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1062
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1062,Jinasena_MasterData_Stock.stock_picking_type_receipts_1061
Jinasena_MasterData_Stock.stock_picking_type_receipts_1071,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1072
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1072,Jinasena_MasterData_Stock.stock_picking_type_receipts_1071
Jinasena_MasterData_Stock.stock_picking_type_receipts_1087,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1088
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_1088,Jinasena_MasterData_Stock.stock_picking_type_receipts_1087
Jinasena_MasterData_Stock.stock_picking_type_consignment_cg_customer,Jinasena_MasterData_Stock.stock_picking_type_returns_332
